Name,Score
Kitchen & dining room table,0.7658765316009521
Lighting,0.7434387803077698
Chair,0.7254437804222107
Light fixture,0.7151206731796265
Lighting,0.652367889881134
Light fixture,0.6442363858222961
Table top,0.6336569786071777
Light fixture,0.6301601529121399
Light fixture,0.6173200607299805
Light fixture,0.5966813564300537
