Description,Score,Topicality
Sky,0.966058611869812,0.966058611869812
Cloud,0.9647142887115479,0.9647142887115479
Wheel,0.8977965116500854,0.8977965116500854
Building,0.8892713785171509,0.8892713785171509
Asphalt,0.8756920695304871,0.8756920695304871
Plant,0.8725985884666443,0.8725985884666443
Road surface,0.8725830316543579,0.8725830316543579
Tire,0.8658363223075867,0.8658363223075867
Vehicle,0.8635331988334656,0.8635331988334656
Window,0.8374301195144653,0.8374301195144653
